id,pct_inhibition,pf_gametocyte_ic50_avg,pf_gametocyte_ic50_sd,hepg2_cytotoxicity_ic50,hepg2_pf_ic50_ratio,pc_asexual_ic50
TCMDC-132869,101.18587975730833,0.5299999999999999,0.4190465367951395,>25,>47,0.778702163
TCMDC-132863,90.56263858093126,1.4533333333333334,0.9429916931412137,24.16,16.623853211009173,0.903873411
TCMDC-132872,109.91219795370438,0.86,0.28,12.62,14.674418604651162,0.861740214
TCMDC-132867,101.2879900576206,0.84,0.7171471257698799,13.4,15.952380952380953,1.227398426
TCMDC-132864,103.78479293957909,1.08,0.3676955262170044,17.5,16.203703703703702,1.027302258
TCMDC-132859,95.66241685144124,0.71,0.533572862878164,19.3,27.1830985915493,0.958544854
TCMDC-133920,106.36221701795472,0.29333333333333333,0.23692474191889143,13.1,45,0.139965409
TCMDC-132860,97.724708537044,0.7366666666666667,0.24684678108764838,19.63,26.64705882352941,0.842224057
TCMDC-124791,93.68945788251288,0.47,0.026457513110645498,>25,>53,0.11372437
TCMDC-124790,89.9733756302045,0.9233333333333333,0.19655363983740748,>25,>27,0.192789889
TCMDC-137771,108.44430009743424,0.14,0.028284271247461815,20.07,143.35714285714283,0.952952003
TCMDC-123865,116.67920270778488,0.26,0.10535653752852732,>25,>96,0.145981288
TCMDC-135184,93.94158473105841,1.425,1.4919953083036153,>25,>18,0.18553642
TCMDC-137476,104.99942535340766,1.8766666666666667,1.7208815570321314,19.33,10.300177619893427,0.124194194
TCMDC-139222,106.64830349317641,0.995,0.035355339059327,>25,>25,0.033414746
TCMDC-125004,120.64871740513038,0.185,0.007071067811865481,10.3,55.67567567567568,0.802005966
TCMDC-137569,97.87945362498806,1.19,0.028284271247461926,12.68,10.655462184873949,0.167102478
TCMDC-134315,105.39346873101614,0.3833333333333333,0.20840665376454132,11.66,30.417391304347827,0.591392499
TCMDC-139286,99.03593339176162,0.56,0.12288205727444486,13.98,24.96428571428571,1.283879712
TCMDC-136642,94.80055566580671,0.32666666666666666,0.1266227994214839,>25,>77,0.749922035
TCMDC-123475,90.46443650535889,1.17,0.154,>25,>2551,0.271946527
TCMDC-137907,93.0392922196201,0.16,0.0848528137423857,17,106.25,0.296312881
TCMDC-137895,92.62551646425442,1.4949999999999999,1.9586857838867366,>25,>17,0.31945166
TCMDC-125521,108.57770560703028,0.12000000000000001,0.028284271247461877,23.35,194.58333333333334,0.774936724
TCMDC-125520,108.11920909351419,<0.0098, -,12.8,>1306,0.724216908
TCMDC-125487,106.59088738179386,0.27,0.027,>25,>2551,0.603387404
TCMDC-137453,100.21669853409816,0.3133333333333333,0.3608785575970583,12.8,40.85106382978724,1.382337273
TCMDC-125769,115.7193894121468,0.043333333333333335,0.011547005383792518,>25,>577,0.998
TCMDC-123885,113.9910622206944,0.67, -,20.8,31.044776119402986,0.774280593
TCMDC-124436,137.0311569755904,0.10533333333333333,0.06712177987310329,>25,>237,0.397574079
TCMDC-123886,116.06741573033707,0.49666666666666665,0.6429100507328636,>25,>50,0.753816645
TCMDC-123792,91.27172689758659,1.7866666666666668,0.18770544300401185,>25,>14,0.15734928
TCMDC-124478,102.42701968771215,0.9125000000000001,0.5120790954530362,>50,>55,0.157351047
TCMDC-124918,99.62476547842401,1.9433333333333334,0.9963098580930196,>25,>13,0.654351344
TCMDC-124917,106.77002583979328,1.9033333333333333,0.35921210076128157,>25,>13,0.202535652
TCMDC-136560,97.63365468886941,1.635,1.6334166645409247,>25,>15,0.53346262
TCMDC-125114,93.54005167958657,0.67,0.4853864439804638,49.31,73.59701492537313,0.034842229
TCMDC-134446,98.88111888111888,0.605,0.10606601717798257,11.3,18.677685950413224,1.157465632
TCMDC-125289,95.74825174825175,0.4266666666666667,0.11590225767142481,>25,>58,0.202707479
TCMDC-125133,96.89498933901919,0.5375,0.32469216190108446,>50,>93,0.266334226
TCMDC-125200,91.59070030386545,0.84,0.028284271247461926,>25,29.76,0.147345344
TCMDC-136678,106.74916924487223,0.3333333333333333,0.23115651263447745,16.66,49.980000000000004,0.913033486
TCMDC-131825,95.61865362918391,0.3,0.014142135623730963,>25,>83,0.311541275
TCMDC-125531,96.47367762911091,0.3466666666666667,0.12096831541082703,21.03,60.66346153846154,0.213603324
TCMDC-125849,100.85742124066255,0.11666666666666665,0.015275252316519647,17.68,151.54285714285714,0.144736698
TCMDC-132071,93.24746291959407,1.95, -,>25,>13,0.440933968
TCMDC-137442,112.77319957004659,0.7466666666666667,0.1823001188516706,19,25.44642857142857,0.914149938
TCMDC-133343,105.37062937062937,1.2433333333333334,0.40513372277969284,>25,>20,0.101309395
TCMDC-133351,104.24303651320537,1.1766666666666665,0.49095145720665057,>25,>21,0.186581191
TCMDC-136307,108.40122199592668,0.47000000000000003,0.11313708498984751,>25,>53,1.555666679
TCMDC-124805,110.51748251748252,0.25666666666666665,0.08504900548115388,14.11,54.97402597402598,0.165747365
TCMDC-142295,115.82331925949984,0.2, -,11.7,58.49999999999999,0.366852279
TCMDC-125539,99.52989845806694,0.49666666666666665,0.11150485789118471,>25,>50,0.734099199
TCMDC-124542,96.32760532150776,0.3, -,>25,>83,0.399386513
TCMDC-142246,102.97012898845892,0.20666666666666667,0.0850490054811538,12.6,60.96774193548387,0.794886696
TCMDC-133872,102.53854832643852,0.8266666666666667,0.15143755588800703,7.25,8.77016129032258,0.183818422
